id_vent,id_node
1000,2602
1001,2705
1002,2810
1003,2917
1004,3026
1005,3137
1006,3250
1007,3365
1008,3482
1009,3601
100,719
1010,3722
1011,3845
1012,3971
1013,4099
1014,4230
1015,4360
1016,4508
1017,4644
1018,4788
1019,5070
101,774
1020,5310
1021,5490
1022,5611
1023,166
1024,167
1025,168
1026,169
1027,170
1028,171
1029,172
102,831
1030,173
1031,174
1032,175
1033,176
1034,177
1035,191
1036,191
1037,221
1038,252
1039,286
103,890
1040,321
1041,359
1042,398
1043,440
1044,483
1045,529
1046,577
1047,627
1048,679
1049,732
104,951
1050,787
1051,844
1052,903
1053,964
1054,1026
1055,1091
1056,1158
1057,1227
1058,1298
1059,1371
105,1013
1060,1446
1061,1523
1062,1602
1063,1683
1064,1766
1065,1851
1066,1938
1067,2027
1068,2118
1069,2211
106,1078
1070,2306
1071,2403
1072,2502
1073,2603
1074,2706
1075,2811
1076,2918
1077,3027
1078,3138
1079,3251
107,1145
1080,3366
1081,3483
1082,3602
1083,3723
1084,3846
1085,3972
1086,4100
1087,4231
1088,4361
1089,4509
108,1214
1090,4645
1091,4789
1092,5071
1093,5311
1094,5491
1095,5612
1096,193
1097,194
1098,195
1099,196
109,1285
1100,197
1101,198
1102,199
1103,200
1104,201
1105,202
1106,203
1107,204
1108,205
1109,219
110,1358
1110,222
1111,253
1112,287
1113,322
1114,360
1115,399
1116,441
1117,484
1118,530
1119,578
111,1433
1120,628
1121,680
1122,733
1123,788
1124,845
1125,904
1126,965
1127,1027
1128,1092
1129,1159
112,1510
1130,1228
1131,1299
1132,1372
1133,1447
1134,1524
1135,1603
1136,1684
1137,1767
1138,1852
1139,1939
113,1589
1140,2028
1141,2119
1142,2212
1143,2307
1144,2404
1145,2503
1146,2604
1147,2707
1148,2812
1149,2919
114,1670
1150,3028
1151,3139
1152,3252
1153,3367
1154,3484
1155,3603
1156,3724
1157,3847
1158,3973
1159,4101
115,1753
1160,4232
1161,4362
1162,4510
1163,4646
1164,4790
1165,5072
1166,5312
1167,5492
1168,5613
1169,223
116,1838
1170,224
1171,225
1172,226
1173,227
1174,228
1175,229
1176,230
1177,231
1178,232
1179,233
117,1925
1180,234
1181,235
1182,236
1183,249
1184,254
1185,288
1186,323
1187,361
1188,400
1189,442
118,2014
1190,485
1191,531
1192,579
1193,629
1194,681
1195,734
1196,789
1197,846
1198,905
1199,966
119,2105
11,128
1200,1028
1201,1093
1202,1160
1203,1229
1204,1300
1205,1373
1206,1448
1207,1525
1208,1604
1209,1685
120,2198
1210,1768
1211,1853
1212,1940
1213,2029
1214,2120
1215,2213
1216,2308
1217,2405
1218,2504
1219,2605
121,2293
1220,2708
1221,2813
1222,2920
1223,3029
1224,3140
1225,3253
1226,3368
1227,3485
1228,3604
1229,3725
122,2390
1230,3848
1231,3974
1232,4102
1233,4233
1234,4363
1235,4511
1236,4647
1237,4791
1238,5073
1239,5313
123,2489
1240,5493
1241,5466
1242,256
1243,257
1244,258
1245,259
1246,260
1247,261
1248,262
1249,263
124,2590
1250,264
1251,265
1252,266
1253,267
1254,268
1255,269
1256,270
1257,282
1258,289
1259,324
125,2693
1260,362
1261,401
1262,443
1263,486
1264,532
1265,580
1266,630
1267,682
1268,735
1269,790
126,2798
1270,847
1271,906
1272,967
1273,1029
1274,1094
1275,1161
1276,1230
1277,1301
1278,1374
1279,1449
127,2905
1280,1526
1281,1605
1282,1686
1283,1769
1284,1854
1285,1941
1286,2030
1287,2121
1288,2214
1289,2309
128,3014
1290,2406
1291,2505
1292,2606
1293,2709
1294,2814
1295,2921
1296,3030
1297,3141
1298,3254
1299,3369
129,3125
1300,3486
1301,3605
1302,3726
1303,3849
1304,3975
1305,4103
1306,4234
1307,4364
1308,4512
1309,4648
130,3238
1310,4792
1311,5074
1312,5314
1313,5469
1314,5464
1315,290
1316,291
1317,292
1318,293
1319,294
131,3353
1320,295
1321,296
1322,297
1323,298
1324,299
1325,300
1326,301
1327,302
1328,303
1329,304
132,3470
1330,305
1331,316
1332,325
1333,363
1334,402
1335,444
1336,487
1337,533
1338,581
1339,631
133,3589
1340,683
1341,736
1342,791
1343,848
1344,907
1345,968
1346,1030
1347,1095
1348,1162
1349,1231
134,3710
1350,1302
1351,1375
1352,1450
1353,1527
1354,1606
1355,1687
1356,1770
1357,1855
1358,1942
1359,2031
135,3833
1360,2122
1361,2215
1362,2310
1363,2407
1364,2506
1365,2607
1366,2710
1367,2815
1368,2922
1369,3031
136,3959
1370,3142
1371,3255
1372,3370
1373,3487
1374,3606
1375,3727
1376,3850
1377,3976
1378,4104
1379,4235
137,4087
1380,4365
1381,4513
1382,4649
1383,4793
1384,5075
1385,5315
1386,5470
1387,5263
1388,327
1389,328
138,4218
1390,329
1391,330
1392,331
1393,332
1394,333
1395,334
1396,335
1397,336
1398,337
1399,338
139,4348
1400,339
1401,340
1402,341
1403,342
1404,343
1405,353
1406,364
1407,403
1408,445
1409,488
140,4496
1410,534
1411,582
1412,632
1413,684
1414,737
1415,792
1416,849
1417,908
1418,969
1419,1031
141,4632
1420,1096
1421,1163
1422,1232
1423,1303
1424,1376
1425,1451
1426,1528
1427,1607
1428,1688
1429,1771
142,4776
1430,1856
1431,1943
1432,2032
1433,2123
1434,2216
1435,2311
1436,2408
1437,2507
1438,2608
1439,2711
143,5058
1440,2816
1441,2923
1442,3032
1443,3143
1444,3256
1445,3371
1446,3488
1447,3607
1448,3728
1449,3851
144,5298
1450,3977
1451,4105
1452,4236
1453,4366
1454,4514
1455,4650
1456,4794
1457,5076
1458,5316
1459,5267
145,5477
1460,5264
1461,365
1462,366
1463,367
1464,368
1465,369
1466,370
1467,371
1468,372
1469,373
146,5476
1470,374
1471,375
1472,376
1473,377
1474,378
1475,379
1476,380
1477,381
1478,382
1479,391
147,2
1480,404
1481,446
1482,489
1483,535
1484,583
1485,633
1486,685
1487,738
1488,793
1489,850
148,6
1490,909
1491,970
1492,1032
1493,1097
1494,1164
1495,1233
1496,1304
1497,1377
1498,1452
1499,1529
149,12
14,206
1500,1608
1501,1689
1502,1772
1503,1857
1504,1944
1505,2033
1506,2124
1507,2217
1508,2312
1509,2409
150,19
1510,2508
1511,2609
1512,2712
1513,2817
1514,2924
1515,3033
1516,3144
1517,3257
1518,3372
1519,3489
151,29
1520,3608
1521,3729
1522,3852
1523,3978
1524,4106
1525,4237
1526,4367
1527,4515
1528,4651
1529,4795
152,41
1530,5077
1531,5317
1532,5268
1533,5018
1534,406
1535,407
1536,408
1537,409
1538,410
1539,411
153,55
1540,412
1541,413
1542,414
1543,415
1544,416
1545,417
1546,418
1547,419
1548,420
1549,421
154,71
1550,422
1551,423
1552,424
1553,432
1554,447
1555,490
1556,536
1557,584
1558,634
1559,686
155,88
1560,739
1561,794
1562,851
1563,910
1564,971
1565,1033
1566,1098
1567,1165
1568,1234
1569,1305
156,108
1570,1378
1571,1453
1572,1530
1573,1609
1574,1690
1575,1773
1576,1858
1577,1945
1578,2034
1579,2125
157,129
1580,2218
1581,2313
1582,2410
1583,2509
1584,2610
1585,2713
1586,2818
1587,2925
1588,3034
1589,3145
158,153
1590,3258
1591,3373
1592,3490
1593,3609
1594,3730
1595,3853
1596,3979
1597,4107
1598,4238
1599,4368
159,179
1600,4516
1601,4652
1602,4796
1603,5078
1604,5318
1605,5269
1606,5019
1607,448
1608,449
1609,450
160,207
1610,451
1611,452
1612,453
1613,454
1614,455
1615,456
1616,457
1617,458
1618,459
1619,460
161,238
1620,461
1621,462
1622,463
1623,464
1624,465
1625,466
1626,467
1627,474
1628,491
1629,537
162,272
1630,585
1631,635
1632,687
1633,740
1634,795
1635,852
1636,911
1637,971
1638,1034
1639,1099
163,307
1640,1166
1641,1235
1642,1306
1643,1379
1644,1454
1645,1531
1646,1610
1647,1691
1648,1774
