id nodo;id vent
2501;999
2602;1000
2705;1001
2810;1002
2917;1003
3026;1004
3137;1005
3250;1006
3365;1007
3482;1008
673;99
3601;1009
3722;1010
3845;1011
3971;1012
4099;1013
4230;1014
4360;1015
4508;1016
4644;1017
4788;1018
719;100
5070;1019
5310;1020
5490;1021
5611;1022
166;1023
167;1024
168;1025
169;1026
170;1027
171;1028
774;101
172;1029
173;1030
174;1031
175;1032
176;1033
177;1034
191;1035
191;1036
221;1037
252;1038
831;102
286;1039
321;1040
359;1041
398;1042
440;1043
483;1044
529;1045
577;1046
627;1047
679;1048
890;103
732;1049
787;1050
844;1051
903;1052
964;1053
1026;1054
1091;1055
1158;1056
1227;1057
1298;1058
951;104
1371;1059
1446;1060
1523;1061
1602;1062
1683;1063
1766;1064
1851;1065
1938;1066
2027;1067
2118;1068
1013;105
2211;1069
2306;1070
2403;1071
2502;1072
2603;1073
2706;1074
2811;1075
2918;1076
3027;1077
3138;1078
1078;106
3251;1079
3366;1080
3483;1081
3602;1082
3723;1083
3846;1084
3972;1085
4100;1086
4231;1087
4361;1088
1145;107
4509;1089
4645;1090
4789;1091
5071;1092
5311;1093
5491;1094
5612;1095
193;1096
194;1097
195;1098
1214;108
196;1099
197;1100
198;1101
199;1102
200;1103
201;1104
202;1105
203;1106
204;1107
205;1108
1285;109
219;1109
222;1110
253;1111
287;1112
322;1113
360;1114
399;1115
441;1116
484;1117
530;1118
1358;110
578;1119
628;1120
680;1121
733;1122
788;1123
845;1124
904;1125
965;1126
1027;1127
1092;1128
1433;111
1159;1129
1228;1130
1299;1131
1372;1132
1447;1133
1524;1134
1603;1135
1684;1136
1767;1137
1852;1138
1510;112
1939;1139
2028;1140
2119;1141
2212;1142
2307;1143
2404;1144
2503;1145
2604;1146
2707;1147
2812;1148
1589;113
2919;1149
3028;1150
3139;1151
3252;1152
3367;1153
3484;1154
3603;1155
3724;1156
3847;1157
3973;1158
1670;114
4101;1159
4232;1160
4362;1161
4510;1162
4646;1163
4790;1164
5072;1165
5312;1166
5492;1167
5613;1168
1753;115
223;1169
224;1170
225;1171
226;1172
227;1173
228;1174
229;1175
230;1176
231;1177
232;1178
1838;116
233;1179
234;1180
235;1181
236;1182
249;1183
254;1184
288;1185
323;1186
361;1187
400;1188
1925;117
442;1189
485;1190
531;1191
579;1192
629;1193
681;1194
734;1195
789;1196
846;1197
905;1198
2014;118
107;10
966;1199
1028;1200
1093;1201
1160;1202
1229;1203
1300;1204
1373;1205
1448;1206
1525;1207
1604;1208
2105;119
1685;1209
1768;1210
1853;1211
1940;1212
2029;1213
2120;1214
2213;1215
2308;1216
2405;1217
2504;1218
2198;120
2605;1219
2708;1220
2813;1221
2920;1222
3029;1223
3140;1224
3253;1225
3368;1226
3485;1227
3604;1228
2293;121
3725;1229
3848;1230
3974;1231
4102;1232
4233;1233
4363;1234
4511;1235
4647;1236
4791;1237
5073;1238
2390;122
5313;1239
5493;1240
5466;1241
256;1242
257;1243
258;1244
259;1245
260;1246
261;1247
262;1248
2489;123
263;1249
264;1250
265;1251
266;1252
267;1253
268;1254
269;1255
270;1256
282;1257
289;1258
2590;124
324;1259
362;1260
401;1261
443;1262
486;1263
532;1264
580;1265
630;1266
682;1267
735;1268
2693;125
790;1269
847;1270
906;1271
967;1272
1029;1273
1094;1274
1161;1275
1230;1276
1301;1277
1374;1278
2798;126
1449;1279
1526;1280
1605;1281
1686;1282
1769;1283
1854;1284
1941;1285
2030;1286
2121;1287
2214;1288
2905;127
2309;1289
2406;1290
2505;1291
2606;1292
2709;1293
2814;1294
2921;1295
3030;1296
3141;1297
3254;1298
3014;128
3369;1299
3486;1300
3605;1301
3726;1302
3849;1303
3975;1304
4103;1305
4234;1306
4364;1307
4512;1308
3125;129
4648;1309
4792;1310
5074;1311
5314;1312
5469;1313
5464;1314
290;1315
291;1316
292;1317
293;1318
3238;130
294;1319
295;1320
296;1321
297;1322
298;1323
299;1324
300;1325
301;1326
302;1327
303;1328
3353;131
304;1329
305;1330
316;1331
325;1332
363;1333
402;1334
444;1335
487;1336
533;1337
581;1338
3470;132
631;1339
683;1340
736;1341
791;1342
848;1343
907;1344
968;1345
1030;1346
1095;1347
1162;1348
3589;133
1231;1349
1302;1350
1375;1351
1450;1352
1527;1353
1606;1354
1687;1355
1770;1356
1855;1357
1942;1358
3710;134
2031;1359
2122;1360
2215;1361
2310;1362
2407;1363
2506;1364
2607;1365
2710;1366
2815;1367
2922;1368
3833;135
3031;1369
3142;1370
3255;1371
3370;1372
3487;1373
3606;1374
3727;1375
3850;1376
3976;1377
4104;1378
3959;136
4235;1379
4365;1380
4513;1381
4649;1382
4793;1383
5075;1384
5315;1385
5470;1386
5263;1387
327;1388
4087;137
328;1389
329;1390
330;1391
331;1392
332;1393
333;1394
334;1395
335;1396
336;1397
337;1398
4218;138
338;1399
339;1400
340;1401
341;1402
342;1403
343;1404
353;1405
364;1406
403;1407
445;1408
4348;139
488;1409
534;1410
582;1411
632;1412
684;1413
737;1414
792;1415
849;1416
908;1417
969;1418
4496;140
1031;1419
1096;1420
1163;1421
1232;1422
1303;1423
1376;1424
1451;1425
1528;1426
1607;1427
1688;1428
4632;141
1771;1429
1856;1430
1943;1431
2032;1432
2123;1433
2216;1434
2311;1435
2408;1436
2507;1437
2608;1438
4776;142
2711;1439
2816;1440
2923;1441
3032;1442
3143;1443
3256;1444
3371;1445
3488;1446
3607;1447
3728;1448
5058;143
3851;1449
3977;1450
4105;1451
4236;1452
4366;1453
4514;1454
4650;1455
4794;1456
5076;1457
5316;1458
5298;144
5267;1459
5264;1460
365;1461
366;1462
367;1463
368;1464
369;1465
370;1466
371;1467
372;1468
5477;145
373;1469
374;1470
375;1471
376;1472
377;1473
378;1474
379;1475
380;1476
381;1477
382;1478
5476;146
391;1479
404;1480
446;1481
489;1482
535;1483
583;1484
633;1485
685;1486
738;1487
793;1488
2;147
850;1489
909;1490
970;1491
1032;1492
1097;1493
1164;1494
1233;1495
1304;1496
1377;1497
1452;1498
6;148
178;13
1529;1499
1608;1500
1689;1501
1772;1502
1857;1503
1944;1504
2033;1505
2124;1506
2217;1507
2312;1508
12;149
2409;1509
2508;1510
2609;1511
2712;1512
2817;1513
2924;1514
3033;1515
3144;1516
3257;1517
3372;1518
19;150
3489;1519
3608;1520
3729;1521
3852;1522
3978;1523
4106;1524
4237;1525
4367;1526
4515;1527
4651;1528
29;151
4795;1529
5077;1530
5317;1531
5268;1532
5018;1533
406;1534
407;1535
408;1536
409;1537
410;1538
41;152
411;1539
412;1540
413;1541
414;1542
415;1543
416;1544
417;1545
418;1546
419;1547
420;1548
55;153
421;1549
422;1550
423;1551
424;1552
432;1553
447;1554
490;1555
536;1556
584;1557
634;1558
71;154
686;1559
739;1560
794;1561
851;1562
910;1563
971;1564
1033;1565
1098;1566
1165;1567
1234;1568
88;155
1305;1569
1378;1570
1453;1571
1530;1572
1609;1573
1690;1574
1773;1575
1858;1576
1945;1577
2034;1578
108;156
2125;1579
2218;1580
2313;1581
2410;1582
2509;1583
2610;1584
2713;1585
2818;1586
2925;1587
3034;1588
129;157
3145;1589
3258;1590
3373;1591
3490;1592
3609;1593
3730;1594
3853;1595
3979;1596
4107;1597
4238;1598
153;158
4368;1599
4516;1600
4652;1601
4796;1602
5078;1603
5318;1604
5269;1605
5019;1606
448;1607
449;1608
179;159
450;1609
451;1610
452;1611
453;1612
454;1613
455;1614
456;1615
457;1616
458;1617
459;1618
207;160
460;1619
461;1620
462;1621
463;1622
464;1623
465;1624
466;1625
467;1626
474;1627
491;1628
238;161
537;1629
585;1630
635;1631
687;1632
740;1633
795;1634
852;1635
911;1636
971;1637
1034;1638
272;162
1099;1639
1166;1640
1235;1641
1306;1642
1379;1643
1454;1644
1531;1645
1610;1646
1691;1647
1774;1648
307;163
1859;1649
1946;1650
2035;1651
2126;1652
2219;1653
2314;1654
2411;1655
2510;1656
2611;1657
2714;1658
345;164
2819;1659
2926;1660
3035;1661
3146;1662
3259;1663
3374;1664
3491;1665
3610;1666
3731;1667
3854;1668
384;165
3980;1669
4108;1670
4239;1671
4369;1672
4517;1673
4653;1674
4797;1675
5079;1676
5319;1677
5270;1678
426;166
5020;1679
493;1680
494;1681
495;1682
496;1683
497;1684
498;1685
499;1686
500;1687
501;1688
469;167
502;1689
503;1690
504;1691
505;1692
506;1693
507;1694
508;1695
509;1696
510;1697
511;1698
